temperature,flour,population_replicate,beetle_ID,weightingrams,
27.5,B,1,1,0.001,
27.5,B,1,2,0.00101,
27.5,B,1,3,0.00113,
27.5,B,1,4,0.0009,
27.5,B,1,5,0.001,
27.5,B,1,6,0.00128,
27.5,B,1,7,0.00101,
27.5,B,1,8,0.00103,
27.5,B,1,9,0.0012,
27.5,B,1,10,0.00119,
27.5,B,1,11,0.00119,
27.5,B,1,12,0.00112,
27.5,B,1,13,0.0012,
27.5,B,1,14,0.0011,
27.5,B,1,15,0.0011,
27.5,B,1,16,0.00092,
27.5,B,1,17,0.00096,
27.5,B,1,18,0.00108,
27.5,B,1,19,0.00089,
27.5,B,1,20,0.00101,
27.5,B,2,1,0.00114,
27.5,B,2,2,0.001,
27.5,B,2,3,0.00105,
27.5,B,2,4,0.00123,
27.5,B,2,5,0.00091,
27.5,B,2,6,0.001,
27.5,B,2,7,0.00071,
27.5,B,2,8,0.00102,
27.5,B,2,9,0.001,
27.5,B,2,10,0.00085,
27.5,B,2,11,0.00097,
27.5,B,2,12,0.00086,
27.5,B,2,13,0.0011,
27.5,B,2,14,0.00096,
27.5,B,2,15,0.00084,
27.5,B,2,16,0.00107,
27.5,B,2,17,0.00105,
27.5,B,2,18,0.00075,
27.5,B,2,19,0.00097,
27.5,B,2,20,0.00099,
27.5,B,3,1,0.00108,
27.5,B,3,2,0.00124,
27.5,B,3,3,0.00085,
27.5,B,3,4,0.00114,
27.5,B,3,5,0.00118,
27.5,B,3,6,0.00101,
27.5,B,3,7,0.00083,
27.5,B,3,8,0.0011,
27.5,B,3,9,0.00116,
27.5,B,3,10,0.0013,
27.5,B,3,11,0.00109,
27.5,B,3,12,0.00111,
27.5,B,3,13,0.00109,
27.5,B,3,14,0.00099,
27.5,B,3,15,0.001,
27.5,B,3,16,0.001,
27.5,B,3,17,0.00106,
27.5,B,3,18,0.00101,
27.5,B,3,19,0.0013,
27.5,B,3,20,0.00115,
27.5,G,1,1,0.001,
27.5,G,1,2,0.00121,
27.5,G,1,3,0.00097,dataentryerror
27.5,G,1,4,0.00109,
27.5,G,1,5,0.00113,
27.5,G,1,6,0.00086,
27.5,G,1,7,0.00095,
27.5,G,1,8,0.00118,
27.5,G,1,9,0.0011,
27.5,G,1,10,0.00099,
27.5,G,1,11,0.00126,
27.5,G,1,12,0.00115,
27.5,G,1,13,0.00117,
