count,temp,flour,replicate,live,dead
1,27.5,B,1,15,0
1,27.5,B,2,15,0
1,27.5,B,3,15,0
1,27.5,G,1,15,0
1,27.5,G,2,15,0
1,27.5,G,3,16,0
1,27.5,VG,1,15,0
1,27.5,VG,2,16,0
1,27.5,VG,3,15,0
1,30,B,1,15,0
1,30,B,2,15,0
1,30,B,3,15,0
1,30,G,1,15,0
1,30,G,2,15,0
1,30,G,3,15,0
1,30,VG,1,14,1
1,30,VG,2,15,0
1,30,VG,3,15,0
1,32.5,B,1,15,0
1,32.5,B,2,15,0
1,32.5,B,3,15,0
1,32.5,G,1,15,0
1,32.5,G,2,15,0
1,32.5,G,3,15,0
1,32.5,VG,1,13,2
1,32.5,VG,2,15,0
1,32.5,VG,3,15,0
1,35,B,1,15,0
1,35,B,2,14,1
1,35,B,3,15,0
1,35,G,1,15,0
1,35,G,2,15,0
1,35,G,3,15,0
1,35,VG,1,15,0
1,35,VG,2,15,0
1,35,VG,3,15,0
2,27.5,B,1,15,0
2,27.5,B,2,15,0
2,27.5,B,3,15,0
2,27.5,G,1,15,0
2,27.5,G,2,15,0
2,27.5,G,3,16,0
2,27.5,VG,1,15,0
2,27.5,VG,2,15,0
2,27.5,VG,3,15,0
2,30,B,1,15,0
2,30,B,2,14,1
2,30,B,3,15,0
2,30,G,1,15,0
2,30,G,2,15,0
2,30,G,3,15,0
2,30,VG,1,14,0
2,30,VG,2,15,0
2,30,VG,3,15,0
2,32.5,B,1,15,0
2,32.5,B,2,15,0
2,32.5,B,3,14,0
2,32.5,G,1,15,0
2,32.5,G,2,14,0
2,32.5,G,3,15,0
2,32.5,VG,1,15,0
2,32.5,VG,2,15,1
2,32.5,VG,3,15,0
2,35,B,1,15,0
2,35,B,2,14,0
2,35,B,3,15,0
2,35,G,1,15,0
2,35,G,2,14,0
2,35,G,3,16,0
2,35,VG,1,18,0
2,35,VG,2,16,0
2,35,VG,3,18,0
3,27.5,B,1,15,0
3,27.5,B,2,15,0
3,27.5,B,3,15,0
3,27.5,G,1,15,0
3,27.5,G,2,15,0
3,27.5,G,3,16,0
3,27.5,VG,1,15,0
3,27.5,VG,2,16,0
3,27.5,VG,3,15,0
3,30,B,1,45,0
3,30,B,2,49,0
3,30,B,3,32,0
3,30,G,1,50,0
3,30,G,2,42,0
3,30,G,3,30,0
3,30,VG,1,72,0
3,30,VG,2,79,0
3,30,VG,3,78,1
3,32.5,B,1,47,0
3,32.5,B,2,57,0
3,32.5,B,3,49,2
3,32.5,G,1,54,0
3,32.5,G,2,56,0
3,32.5,G,3,69,0
3,32.5,VG,1,74,0
3,32.5,VG,2,74,0
3,32.5,VG,3,88,0
3,35,B,1,34,0
3,35,B,2,44,0
3,35,B,3,43,0
3,35,G,1,38,2
3,35,G,2,37,0
3,35,G,3,37,0
3,35,VG,1,53,0
3,35,VG,2,59,0
3,35,VG,3,45,0
4,27.5,B,1,62,0
4,27.5,B,2,70,0
4,27.5,B,3,69,2
4,27.5,G,1,64,0
4,27.5,G,2,65,0
4,27.5,G,3,71,0
4,27.5,VG,1,73,0
4,27.5,VG,2,98,0
4,27.5,VG,3,92,0
4,30,B,1,66,0
4,30,B,2,76,3
4,30,B,3,63,0
4,30,G,1,74,0
4,30,G,2,67,0
4,30,G,3,69,0
4,30,VG,1,105,0
4,30,VG,2,106,0
4,30,VG,3,137,0
4,32.5,B,1,63,0
4,32.5,B,2,70,0
4,32.5,B,3,73,0
4,32.5,G,1,73,0
4,32.5,G,2,58,0
4,32.5,G,3,79,1
4,32.5,VG,1,73,1
4,32.5,VG,2,79,0
4,32.5,VG,3,94,0
4,35,B,1,35,0
4,35,B,2,41,1
4,35,B,3,43,1
4,35,G,1,38,0
4,35,G,2,37,0
4,35,G,3,36,0
4,35,VG,1,60,0
4,35,VG,2,57,0
4,35,VG,3,45,0
5,27.5,B,1,80,0
5,27.5,B,2,82,0
5,27.5,B,3,83,0
5,27.5,G,1,88,1
5,27.5,G,2,77,0
5,27.5,G,3,98,0
5,27.5,VG,1,93,1
5,27.5,VG,2,119,0
5,27.5,VG,3,109,0
5,30,B,1,73,0
5,30,B,2,80,0
5,30,B,3,64,2
5,30,G,1,79,0
5,30,G,2,69,0
5,30,G,3,70,0
5,30,VG,1,115,0
5,30,VG,2,115,0
5,30,VG,3,134,0
5,32.5,B,1,69,0
5,32.5,B,2,94,0
5,32.5,B,3,70,0
5,32.5,G,1,85,0
5,32.5,G,2,80,0
5,32.5,G,3,94,0
5,32.5,VG,1,161,0
5,32.5,VG,2,110,0
5,32.5,VG,3,112,0
5,35,B,1,48,0
5,35,B,2,49,2
5,35,B,3,69,3
5,35,G,1,67,0
5,35,G,2,78,0
5,35,G,3,64,0
5,35,VG,1,75,1
5,35,VG,2,73,0
5,35,VG,3,63,1
6,27.5,B,1,80,0
6,27.5,B,2,85,4
6,27.5,B,3,68,0
6,27.5,G,1,87,0
6,27.5,G,2,71,4
6,27.5,G,3,82,0
6,27.5,VG,1,73,5
6,27.5,VG,2,119,0
6,27.5,VG,3,109,0
